Patient,validation_fold
GSM615096,6
GSM615097,1
GSM615098,4
GSM615099,8
GSM615100,3
GSM615101,5
GSM615102,8
GSM615103,8
GSM615104,8
GSM615106,1
GSM615107,5
GSM615108,8
GSM615109,9
GSM615110,4
GSM615111,9
GSM615112,10
GSM615113,3
GSM615114,9
GSM615115,8
GSM615116,1
GSM615117,7
GSM615120,1
GSM615121,10
GSM615122,8
GSM615123,9
GSM615124,1
GSM615125,5
GSM615126,3
GSM615127,8
GSM615128,2
GSM615129,3
GSM615130,1
GSM615131,2
GSM615132,5
GSM615133,9
GSM615134,2
GSM615135,6
GSM615136,7
GSM615137,6
GSM615138,2
GSM615139,7
GSM615140,10
GSM615141,5
GSM615142,1
GSM615143,5
GSM615144,8
GSM615145,7
GSM615146,2
GSM615147,7
GSM615148,5
GSM615149,4
GSM615150,5
GSM615151,8
GSM615152,8
GSM615153,1
GSM615154,10
GSM615155,8
GSM615156,3
GSM615157,7
GSM615158,2
GSM615159,6
GSM615160,7
GSM615161,9
GSM615162,5
GSM615164,3
GSM615165,6
GSM615166,3
GSM615167,3
GSM615168,9
GSM615169,7
GSM615170,7
GSM615171,6
GSM615172,6
GSM615173,10
GSM615174,7
GSM615175,8
GSM615176,5
GSM615177,4
GSM615178,6
GSM615179,6
GSM615180,10
GSM615181,3
GSM615182,5
GSM615183,8
GSM615184,10
GSM615185,3
GSM615186,10
GSM615187,9
GSM615188,5
GSM615189,4
GSM615190,10
GSM615191,9
GSM615192,4
GSM615193,1
GSM615194,1
GSM615195,2
GSM615196,6
GSM615197,4
GSM615198,4
GSM615199,1
GSM615200,3
GSM615201,2
GSM615202,3
GSM615203,8
GSM615204,7
GSM615205,9
GSM615206,3
GSM615207,8
GSM615208,5
GSM615209,9
GSM615210,9
GSM615211,5
GSM615212,10
GSM615213,7
GSM615214,6
GSM615215,9
GSM615216,2
GSM615217,1
GSM615218,2
GSM615219,2
GSM615220,2
GSM615221,10
GSM615222,1
GSM615223,4
GSM615224,7
GSM615225,5
GSM615226,3
GSM615227,4
GSM615228,6
GSM615229,8
GSM615230,4
GSM615231,2
GSM615232,5
GSM615233,10
GSM615234,4
GSM615235,6
GSM615236,2
GSM615237,10
GSM615238,8
GSM615239,10
GSM615240,4
GSM615241,6
GSM615242,4
GSM615243,1
GSM615244,1
GSM615245,4
GSM615246,2
GSM615247,5
GSM615248,6
GSM615249,10
GSM615250,8
GSM615251,4
GSM615252,4
GSM615253,10
GSM615254,7
GSM615255,4
GSM615256,4
GSM615257,2
GSM615258,3
GSM615259,7
GSM615260,6
GSM615261,1
GSM615262,10
GSM615263,1
GSM615264,8
GSM615265,2
GSM615266,7
GSM615267,1
GSM615268,5
GSM615269,2
GSM615270,10
GSM615271,6
GSM615272,8
GSM615273,6
GSM615274,3
GSM615275,6
GSM615276,6
GSM615277,10
GSM615278,10
GSM615279,3
GSM615280,4
GSM615281,9
GSM615282,3
GSM615283,2
GSM615284,2
GSM615285,9
GSM615286,2
GSM615287,5
GSM615288,7
GSM615289,1
GSM615290,8
GSM615291,6
GSM615292,8
GSM615293,1
GSM615294,4
GSM615295,2
GSM615296,9
GSM615297,2
GSM615298,4
GSM615299,9
GSM615300,2
GSM615301,7
GSM615302,2
GSM615303,6
GSM615304,7
GSM615305,1
GSM615306,5
GSM615307,9
GSM615308,3
GSM615309,6
GSM615310,1
GSM615311,10
GSM615312,8
GSM615313,10
GSM615314,2
GSM615315,7
GSM615316,4
GSM615317,2
GSM615318,9
GSM615319,1
GSM615320,7
GSM615321,5
GSM615322,4
GSM615323,4
GSM615324,5
GSM615325,3
GSM615326,9
GSM615327,10
GSM615328,4
GSM615329,1
GSM615330,1
GSM615331,2
GSM615332,3
GSM615333,10
GSM615334,6
GSM615335,6
GSM615336,8
GSM615337,1
GSM615338,5
GSM615339,7
GSM615340,3
GSM615341,9
GSM615342,6
GSM615343,9
GSM615344,10
GSM615345,3
GSM615346,3
GSM615347,5
GSM615348,3
GSM615349,9
GSM615350,7
GSM615351,9
GSM615352,8
GSM615353,6
GSM615354,4
GSM615355,10
GSM615356,9
GSM615357,5
GSM615358,9
GSM615359,5
GSM615360,7
GSM615361,3
GSM615362,2
GSM615363,4
GSM615364,1
GSM615365,3
GSM615366,9
GSM615367,7
GSM615368,10
GSM615369,8
GSM615370,8
GSM615371,2
GSM615372,6
GSM615373,2
GSM615374,7
GSM615375,1
GSM615376,10
GSM615377,1
GSM615378,3
GSM615379,10
GSM615380,6
GSM615381,6
GSM615382,7
GSM615383,3
GSM615384,5
GSM615385,4
GSM615386,5
GSM615387,4
GSM615388,9
GSM615389,3
GSM615390,9
GSM615391,9
GSM615392,5
GSM615393,7
GSM615394,7
GSM615395,10
GSM615396,6
GSM615397,7
GSM615398,1
GSM615399,8
GSM615400,3
GSM615401,5
GSM615402,1
GSM615403,4
GSM615404,8
GSM615405,5
